id,gym_id,event_type_id,title,date,time,price,day_of_week,type,event_url,created_at,updated_at,gym_name,gym_code,gym_state,event_type_name,event_type_color
58ae0be9-bf01-4355-bd1b-afff7b53adea,OAS,,Open Gym,2025-09-27,2:30 PM - 3:30 PM,20.00,Saturday,OPEN GYM,https://portal.iclasspro.com/oasisgymnastics/camp-details/776?typeId=60,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Oasis Gymnastics,OAS,AZ,,
67449a97-4c98-490e-a1d8-8f66e7e278de,TIG,,Outer Space Glow Party,2025-09-26,6:30 PM - 9:30 PM,35.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/tigar/camp-details/506?typeId=8,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Tigar Gymnastics,TIG,CA,,
6d2e8ff0-144c-4fc5-85e9-86c228b14b64,CCP,,"Gym Fun Fridays | Open Gym | Ages 1-5 | September 12, 2025 | 10:30am -12:00pm",2025-09-12,10:30 AM - 12:00 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymavery/camp-details/1164?typeId=17&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:58:30.932131+00,2025-09-02 18:58:30.932131+00,Capital Gymnastics Cedar Park,CCP,TX,,
7e62f8f4-bfa0-4e51-a601-6624ec0ccf7a,RBK,,Bonus Tumbling & Open Gym,2025-09-27,12:00 PM - 1:00 PM,15.00,Saturday,OPEN GYM,https://portal.iclasspro.com/rbkingwood/camp-details/1546?typeId=6,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
88604a58-c28a-452e-808b-80dde157f3b8,CRR,,Back Flip Clinic,2025-09-26,6:30 PM - 7:30 PM,,Friday,CLINIC,https://portal.iclasspro.com/capgymroundrock/camp-details/1573?typeId=28,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Capital Gymnastics Round Rock,CRR,TX,,
89799df8-2a58-4436-a01d-d2c1b6c2aef9,OAS,,Movie Night,2025-09-12,6:30 PM - 9:30 PM,40.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/oasisgymnastics/camp-details/793?typeId=27,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Oasis Gymnastics,OAS,AZ,,
8a69f48d-763d-4de3-84b1-0fe396c379a7,CRR,,Homeschool Open Gym 9/19/25,2025-09-19,11:30 AM - 1:00 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1582?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:07:25.812318+00,2025-09-02 18:07:25.812318+00,Capital Gymnastics Round Rock,CRR,TX,,
8eeb8e53-74f8-4a0d-b261-9ed7d0458468,CPF,,Gym Fun Fridays,2025-09-12,10:00 AM - 11:30 AM,10,Friday,OPEN GYM,https://portal.iclasspro.com/capgymhp/camp-details/2478?typeId=81&filters=%7B%22sorting%22:%22name%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-03 18:20:19.192165+00,2025-09-03 18:20:19.192165+00,Capital Gymnastics Pflugerville,CPF,TX,,
90f8cf05-b636-439a-a018-3640dc88e647,CRR,,Homeschool Open Gym 9/5/25,2025-09-05,11:30 AM - 1:00 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1580?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:06:15.135293+00,2025-09-02 18:06:15.135293+00,Capital Gymnastics Round Rock,CRR,TX,,
9ae91bd3-bf42-454d-91d7-ff3cc2a34fcb,CRR,,Gym Fun Friday 9/5/25,2025-09-05,10:00 AM - 11:30 AM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1576?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:07:25.812318+00,2025-09-02 18:07:25.812318+00,Capital Gymnastics Round Rock,CRR,TX,,
9e4e4f6f-2d01-4064-86dc-005a0a902c11,CRR,,Gym Fun Friday 9/19/25,2025-09-19,10:00 AM - 11:30 AM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1578?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:07:25.812318+00,2025-09-02 18:07:25.812318+00,Capital Gymnastics Round Rock,CRR,TX,,
ac316c9c-bf2b-4992-ac52-063a24f171a5,CPF,,Gym Fun Fridays,2025-09-19,10:00 AM - 11:30 AM,10,Friday,OPEN GYM,https://portal.iclasspro.com/capgymhp/camp-details/2479?typeId=81&filters=%7B%22sorting%22:%22name%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-03 18:20:19.192165+00,2025-09-03 18:20:19.192165+00,Capital Gymnastics Pflugerville,CPF,TX,,
